epoch,lr,train_loss,val_loss,train_bleu,val_bleu,train_chrf,val_chrf,epoch_time_s
1,5e-05,8.229238764183272,7.659510862259638,0.0,0.002487915760293049,3.792990983800004,1.1205717382023732,2626.445648908615
2,0.0001,7.5849378589180345,7.158188991445713,0.016009811455122654,0.0479469981075261,1.1013130974393404,3.7825567223694625,2680.997647047043
3,9.619397662556435e-05,7.064635103641276,6.976086041283986,0.03417890962224093,0.2411875138675884,4.70379271082538,4.633280681701731,2654.5550422668457
4,8.535533905932738e-05,6.789676544001018,6.873803573941427,0.21553819167286653,0.658246232621388,8.155278168481507,6.541423315462823,2620.2744014263153
5,6.91341716182545e-05,6.642521700624927,6.8185431175131015,0.3396357436424325,0.5700624343712168,9.823439529583137,6.423428747890869,2625.923237323761
6,5e-05,6.547141691615602,6.7741098984208685,0.484049188069929,0.6763436034528016,10.421527987039378,7.16003436967915,2690.7737696170807
7,3.086582838174551e-05,6.482977468103074,6.740486011303291,0.49086980446783013,0.8005560031273428,10.829976543801932,7.399415740754652,2694.2121584415436
8,1.4644660940672627e-05,6.437162729474735,6.711326036503706,0.5019867107506606,0.7777390967415455,11.162685710980421,7.54531988460035,2621.47021985054
9,3.8060233744356633e-06,6.413494357709427,6.706700591183213,0.60025635846737,0.7855601922763971,11.268824490424988,7.611642384944097,2527.425884246826
10,1e-06,6.406344375200953,6.703121437597527,0.5194107556785391,0.7969030217075201,11.09652465381256,7.6791137152848,2569.080403804779
